,matches
56527,[]
17249,[]
20765,"[(53656, 0.6597293932147933)]"
47907,[]
44420,"[(18299, 0.7094638597188174), (52809, 0.7059533991884341), (22452, 0.7021593719731114), (50678, 0.6986997149295957), (2864, 0.6881672825954622), (47730, 0.6851629992360746), (58700, 0.6764012150032044), (21063, 0.6760143432554414), (59916, 0.6759472416695894), (39123, 0.6750765894114978), (57539, 0.6750598546490958), (49658, 0.6734759996156391), (735, 0.6680181911893104), (28272, 0.6679387351822044), (20093, 0.6674161185533809), (31563, 0.666634301534768), (19145, 0.6666217279803328), (53546, 0.6652423039445214), (56982, 0.6639708799967824), (1039, 0.6618511787868545), (13313, 0.6613679710157779), (6972, 0.6603613728357007), (52359, 0.6592999303426521), (35676, 0.6547113614478863), (7896, 0.6535043541406595), (46369, 0.6520504959897108)]"
56981,"[(27546, 0.718961547337611), (42518, 0.6760070787750027)]"
2777,"[(13675, 0.9999999999991719), (57203, 0.9999999999991719), (47745, 0.9999999999991719), (35867, 0.9999999999991719), (33969, 0.9999999999991719), (36887, 0.9999999999991719), (29650, 0.9999999999991719), (33280, 0.9999999999990123)]"
32347,[]
7117,"[(51965, 0.7228040208767834), (53335, 0.7219581248532244), (29916, 0.7128902104962666), (5406, 0.7114351261698896), (7055, 0.702711867978753), (20217, 0.6941714976161413), (43148, 0.6908866803640235), (23130, 0.6906332721719072), (49032, 0.6865817557137757), (324, 0.6855062881308132), (24939, 0.6832686227518305), (6360, 0.6753438783522807), (1168, 0.6734744562253345), (34628, 0.6695248547157348), (56790, 0.6670092537331297), (34191, 0.6639962676817067), (28736, 0.6632425872435406), (20512, 0.6621708308416295), (36399, 0.6611419336641421), (25423, 0.6576384431222865), (10303, 0.6574029722447838), (28063, 0.6555484502675554), (43582, 0.6548571475796084), (20030, 0.654096803208659), (16257, 0.6540153160889156), (28014, 0.6539743818586216), (54058, 0.6502879020549831), (41407, 0.6502081916728581)]"
23083,"[(17488, 0.9999999999991719), (41572, 0.9999999999991719), (4313, 0.9999999999991719), (13675, 0.9999999999991719), (3177, 0.9999999999991719), (59757, 0.9999999999991719), (41774, 0.9999999999991719), (31812, 0.9999999999991719), (56275, 0.9999999999991719), (16305, 0.9999999999991719), (35867, 0.9999999999991719), (49495, 0.9999999999991719), (24993, 0.9999999999991719), (33969, 0.9999999999991719), (32359, 0.9999999999991719), (36887, 0.9999999999991719), (3780, 0.9999999999990123), (41912, 0.9999999999990123), (55941, 0.9999999999990123), (26231, 0.9999999999990123), (57557, 0.9999999999990123), (33280, 0.9999999999990123)]"
24939,"[(49032, 0.7559777755478841), (16257, 0.7252279462893657), (23130, 0.7203372492085228), (14120, 0.7085332284520666), (20030, 0.6954332657453725), (7055, 0.6861751709579145), (7117, 0.6832686227518305), (29916, 0.6772555004447877), (28736, 0.6717100439327328), (36032, 0.6703823051571711), (5406, 0.6671835086360715), (54660, 0.6671457661710755), (7451, 0.6640628952408263), (13661, 0.6609389783803329), (39436, 0.6598825129408642), (21093, 0.655373671666135), (33109, 0.6507676318140271)]"
7784,"[(29690, 0.6869359110080965), (43088, 0.6657208384227941), (1389, 0.6627668736479059), (56439, 0.6588184262113385)]"
32407,"[(22452, 0.6844843456421917), (53546, 0.6822815400252632), (25748, 0.672424766875062), (30009, 0.6674355431100605), (16553, 0.6638785888718668), (42371, 0.6606370152642027), (21063, 0.6552760182054896), (56189, 0.6518030474982509)]"
19394,[]
36055,[]
50594,"[(46916, 0.6673303011218426)]"
53129,"[(28736, 0.7356505260308073), (16514, 0.666053902337817), (30513, 0.662308382106659), (18240, 0.6513703290162354)]"
